"destination_airport_name","source_airport_name","airline_ID","source_airport_ID","destination_airport_ID","capacity","airline_name","source_airport_country","destination_airport_country"
"Tenakee Seaplane Base","Angoon Seaplane Base","10912","7135","7137",8,"Alaska Seaplane Service","United States","United States"
"Thorne Bay Seaplane Base","Ketchikan International Airport","20963","3808","7147",8,"Atlantic Air Cargo","United States","United States"
"Thorne Bay Seaplane Base","Ketchikan International Airport","16262","3808","7147",8,"Fly Colombia ( Interliging Flights )","United States","United States"
"Tin City Long Range Radar Station Airport","Nome Airport","1472","3615","7194",12,"Bering Air","United States","United States"
"Togiak Airport","Quinhagak Airport","16726","7206","6767",7,"Era Alaska","United States","United States"
"Toksook Bay Airport","Nightmute Airport","16726","8199","8200",7,"Era Alaska","United States","United States"
"Toksook Bay Airport","Bethel Airport","16726","3599","8200",12,"Era Alaska","United States","United States"
"Toksook Bay Airport","Nightmute Airport","1173","8199","8200",7,"Airbus France","United States","United States"
"Tucson International Airport","Phoenix Sky Harbor International Airport","24","3462","3636",90,"American Airlines","United States","United States"
"Tucson International Airport","Portland International Airport","439","3720","3636",74,"Alaska Airlines","United States","United States"
"Tucson International Airport","Denver International Airport","4547","3751","3636",142,"Southwest Airlines","United States","United States"
"Tucson International Airport","Denver International Airport","1316","3751","3636",142,"AirTran Airways","United States","United States"
"Tucson International Airport","Denver International Airport","5209","3751","3636",142,"United Airlines","United States","United States"
"Tucson International Airport","Los Angeles International Airport","24","3484","3636",70,"American Airlines","United States","United States"
"Tucson International Airport","Phoenix Sky Harbor International Airport","5265","3462","3636",90,"US Airways","United States","United States"
"Tucson International Airport","Los Angeles International Airport","4547","3484","3636",146,"Southwest Airlines","United States","United States"
"Tucson International Airport","Los Angeles International Airport","439","3484","3636",70,"Alaska Airlines","United States","United States"
"Tucson International Airport","Los Angeles International Airport","5209","3484","3636",74,"United Airlines","United States","United States"
"Tucson International Airport","San Francisco International Airport","5209","3469","3636",74,"United Airlines","United States","United States"
"Tucson International Airport","Los Angeles International Airport","5265","3484","3636",70,"US Airways","United States","United States"
"Tuluksak Airport","Akiak Airport","1173","7217","7218",7,"Airbus France","United States","United States"
"Tuluksak Airport","Akiak Airport","16726","7217","7218",7,"Era Alaska","United States","United States"
"Tuluksak Airport","Bethel Airport","16726","3599","7218",7,"Era Alaska","United States","United States"
"Tuntutuliak Airport","Bethel Airport","16726","3599","7099",7,"Era Alaska","United States","United States"
"Tuntutuliak Airport","Bethel Airport","1173","3599","7099",7,"Airbus France","United States","United States"
"Tununak Airport","Toksook Bay Airport","16726","8200","8201",7,"Era Alaska","United States","United States"
"Tununak Airport","Toksook Bay Airport","1173","8200","8201",7,"Airbus France","United States","United States"
"Tununak Airport","Nightmute Airport","16726","8199","8201",12,"Era Alaska","United States","United States"
"Tupelo Regional Airport","Mid Delta Regional Airport","20710","6130","5773",37,"Silver Airways (3M)","United States","United States"
"Unalakleet Airport","St Michael Airport","1472","7191","7088",10,"Bering Air","United States","United States"
"Unalakleet Airport","Stebbins Airport","1472","7193","7088",12,"Bering Air","United States","United States"
"Unalakleet Airport","Shaktoolik Airport","16726","7192","7088",12,"Era Alaska","United States","United States"
"Unalakleet Airport","Nome Airport","1472","3615","7088",8,"Bering Air","United States","United States"
"Unalakleet Airport","Koyuk Alfred Adams Airport","16726","7190","7088",12,"Era Alaska","United States","United States"
"Unalakleet Airport","Stebbins Airport","16726","7193","7088",7,"Era Alaska","United States","United States"
"Unalakleet Airport","Nome Airport","16726","3615","7088",12,"Era Alaska","United States","United States"
"Unalakleet Airport","St Michael Airport","16726","7191","7088",12,"Era Alaska","United States","United States"
"Unalakleet Airport","Shaktoolik Airport","1472","7192","7088",12,"Bering Air","United States","United States"
"Valley International Airport","San Antonio International Airport","4547","3621","3560",142,"Southwest Airlines","United States","United States"
"Valley International Airport","Austin Bergstrom International Airport","1316","3673","3560",132,"AirTran Airways","United States","United States"
"Valley International Airport","Lubbock Preston Smith International Airport","1316","3829","3560",132,"AirTran Airways","United States","United States"
"Valley International Airport","Austin Bergstrom International Airport","4547","3673","3560",142,"Southwest Airlines","United States","United States"
"Venango Regional Airport","DuBois Regional Airport","5209","5734","4058",10,"United Airlines","United States","United States"
"Venetie Airport","Fort Yukon Airport","55","3420","7114",12,"Astral Aviation","United States","United States"
"Venetie Airport","Arctic Village Airport","55","6729","7114",12,"Astral Aviation","United States","United States"
"Visalia Municipal Airport","Los Angeles International Airport","2607","3484","7121",10,"Great Lakes Airlines","United States","United States"
"Wainwright Airport","Atqasuk Edward Burnell Sr Memorial Airport","16726","6714","7220",12,"Era Alaska","United States","United States"
"Wainwright Airport","Wiley Post Will Rogers Memorial Airport","16726","3571","7220",12,"Era Alaska","United States","United States"
"Wales Airport","Brevig Mission Airport","16726","7183","7187",6,"Era Alaska","United States","United States"
"Wales Airport","Brevig Mission Airport","1472","7183","7187",12,"Bering Air","United States","United States"
"Wales Airport","Shishmaref Airport","16726","6723","7187",10,"Era Alaska","United States","United States"
"Wales Airport","Nome Airport","16726","3615","7187",6,"Era Alaska","United States","United States"
"Wales Airport","Tin City Long Range Radar Station Airport","1472","7194","7187",12,"Bering Air","United States","United States"
"Westchester County Airport","Martha's Vineyard Airport","1629","4265","3589",7,"Cape Air","United States","United States"
"Westchester County Airport","Orlando","3029","3878","3589",179,"JetBlue Airways","United States","United States"
"Westchester County Airport","Orlando","2009","3878","3589",74,"Delta Air Lines","United States","United States"
"Westchester County Airport","Lebanon Municipal Airport","1629","5749","3589",7,"Cape Air","United States","United States"
"Westchester County Airport","New Bedford Regional Airport","1629","5737","3589",7,"Cape Air","United States","United States"
"Western Neb. Rgnl/William B. Heilig Airport","Denver International Airport","2607","3751","5723",10,"Great Lakes Airlines","United States","United States"
"White Mountain Airport","Nome Airport","1472","3615","7188",12,"Bering Air","United States","United States"
"White Mountain Airport","Golovin Airport","16726","7185","7188",6,"Era Alaska","United States","United States"
"White Mountain Airport","Nome Airport","16726","3615","7188",6,"Era Alaska","United States","United States"
"White Mountain Airport","Golovin Airport","1472","7185","7188",8,"Bering Air","United States","United States"
"Wiley Post Will Rogers Memorial Airport","Point Lay LRRS Airport","16726","3414","3571",12,"Era Alaska","United States","United States"
"Wiley Post Will Rogers Memorial Airport","Deadhorse Airport","439","3620","3571",142,"Alaska Airlines","United States","United States"
"Wiley Post Will Rogers Memorial Airport","Atqasuk Edward Burnell Sr Memorial Airport","16726","6714","3571",12,"Era Alaska","United States","United States"
"Wiley Post Will Rogers Memorial Airport","Nuiqsut Airport","16726","7092","3571",10,"Era Alaska","United States","United States"
"Wiley Post Will Rogers Memorial Airport","Wainwright Airport","16726","7220","3571",12,"Era Alaska","United States","United States"
"William R Fairchild International Airport","Boeing Field King County International Airport","3123","3726","5731",12,"Kenmore Air","United States","United States"
"Wilmington International Airport","La Guardia Airport","24","3697","3845",37,"American Airlines","United States","United States"
"Wilmington International Airport","La Guardia Airport","2009","3697","3845",142,"Delta Air Lines","United States","United States"
"Wilmington International Airport","La Guardia Airport","5265","3697","3845",37,"US Airways","United States","United States"
"Wrangell Airport","Ketchikan International Airport","439","3808","5969",142,"Alaska Airlines","United States","United States"
"Wrangell Airport","Petersburg James A Johnson Airport","439","4147","5969",142,"Alaska Airlines","United States","United States"
"Yakutat Airport","Merle K (Mudhole) Smith Airport","439","3610","6803",142,"Alaska Airlines","United States","United States"
"Yakutat Airport","Juneau International Airport","439","3492","6803",142,"Alaska Airlines","United States","United States"
"Yampa Valley Airport","Denver International Airport","5209","3751","4339",78,"United Airlines","United States","United States"
"Yellowstone Regional Airport","Denver International Airport","5209","3751","4344",70,"United Airlines","United States","United States"
"Youngstown Warren Regional Airport","Charlotte County Airport","35","7056","3881",142,"Allegiant Air","United States","United States"
"Youngstown Warren Regional Airport","Orlando Sanford International Airport","35","4167","3881",142,"Allegiant Air","United States","United States"
"Zachar Bay Seaplane Base","Amook Bay Seaplane Base","146","7167","7176",10,"Air Salone","United States","United States"
